,code,name,market,sector,date,start_price,closing_price,high_price,low_price,MA25,volume
0,1301,極洋,東証１,水産・農林業,2020年5月09日,"2,527","2,547","2,549","2,520",0.2,32
20,1332,日本水産,東証１,水産・農林業,2020年5月09日,466,472,472,461,2.14,992
21,1333,マルハニチロ,東証１,水産・農林業,2020年5月09日,"2,230","2,250","2,252","2,205",-0.17,654
28,1352,ホウスイ,東証１,卸売業,2020年5月09日,883,886,903,881,13.66,3
39,1376,カネコ種苗,東証１,水産・農林業,2020年5月09日,"1,495","1,421","1,497","1,421",-0.85,26
40,1377,サカタのタネ,東証１,水産・農林業,2020年5月09日,"3,620","3,640","3,660","3,595",6.95,517
41,1379,ホクト,東証１,水産・農林業,2020年5月09日,"1,964","1,958","1,968","1,951",1.85,119
46,1384,ホクリヨウ,東証１,水産・農林業,2020年5月09日,578,578,581,573,-2.99,8
63,1413,ヒノキヤグループ,東証１,建設業,2020年5月09日,"1,645","1,684","1,694","1,645",17.98,52
64,1414,ショーボンドホールディングス,東証１,建設業,2020年5月09日,"4,415","4,395","4,430","4,365",3.58,513
65,1417,ミライト・ホールディングス,東証１,建設業,2020年5月09日,"1,435","1,433","1,456","1,418",8,404
67,1419,タマホーム,東証１,建設業,2020年5月09日,"1,295","1,310","1,317","1,284",11.9,743
68,1420,サンヨーホームズ,東証１,建設業,2020年5月09日,592,599,609,592,1.74,1
69,1429,日本アクア,東証１,建設業,2020年5月09日,623,623,629,613,1.78,49
70,1430,ファーストコーポレーション,東証１,建設業,2020年5月09日,493,488,500,488,11.95,44
72,1433,ベステラ,東証１,建設業,2020年5月09日,"1,024",990,"1,024",957,3.38,39
74,1435,ＴＡＴＥＲＵ,東証１,建設業,2020年5月09日,116,115,117,114,2.79,29
80,1446,キャンディル,東証１,建設業,2020年5月09日,530,506,530,497,16.15,26
82,1448,スペースバリューホールディングス,東証１,建設業,2020年5月09日,330,344,346,329,5.41,95
127,1514,住石ホールディングス,東証１,鉱業,2020年5月09日,113,113,114,112,-0.74,52
128,1515,日鉄鉱業,東証１,鉱業,2020年5月09日,"4,450","4,515","4,515","4,385",5.59,73
129,1518,三井松島ホールディングス,東証１,鉱業,2020年5月09日,838,856,858,837,1.5,38
173,1605,国際石油開発帝石,東証１,鉱業,2020年5月09日,685,692.2,692.9,680,6.29,5388
203,1662,石油資源開発,東証１,鉱業,2020年5月09日,"1,882","1,883","1,899","1,871",0.95,411
204,1663,Ｋ＆Ｏエナジーグループ,東証１,鉱業,2020年5月09日,"1,560","1,559","1,594","1,541",0.66,18
236,1712,ダイセキ環境ソリューション,東証１,建設業,2020年5月09日,"1,065","1,060","1,077","1,049",13.73,20
237,1716,第一カッター興業,東証１,建設業,2020年5月09日,"1,668","1,691","1,713","1,658",6.27,11
238,1717,明豊ファシリティワークス,東証１,建設業,2020年5月09日,535,550,554,534,13.68,51
240,1719,安藤・間,東証１,建設業,2020年5月09日,697,702,704,688,6.13,347
241,1720,東急建設,東証１,建設業,2020年5月09日,570,571,574,568,5.27,175
242,1721,コムシスホールディングス,東証１,建設業,2020年5月09日,"3,050","3,080","3,080","3,015",9.81,2316
245,1726,ビーアールホールディングス,東証１,建設業,2020年5月09日,482,495,495,480,3.52,18
256,1762,高松コンストラクショングループ,東証１,建設業,2020年5月09日,"2,278","2,310","2,319","2,263",3.85,62
258,1766,東建コーポレーション,東証１,建設業,2020年5月09日,"7,380","7,360","7,380","7,320",-2.6,402
259,1768,ソネック,東証１,建設業,2020年5月09日,728,720,728,712,4.45,1
266,1780,ヤマウラ,東証１,建設業,2020年5月09日,737,745,746,734,2.52,12
276,1801,大成建設,東証１,建設業,2020年5月09日,"3,415","3,495","3,500","3,405",7.52,3328
277,1802,大林組,東証１,建設業,2020年5月09日,949,961,961,940,4.3,2033
278,1803,清水建設,東証１,建設業,2020年5月09日,863,874,874,860,6.57,2293
279,1805,飛島建設,東証１,建設業,2020年5月09日,"1,059","1,077","1,085","1,059",6.97,76
281,1808,長谷工コーポレーション,東証１,建設業,2020年5月09日,"1,154","1,179","1,179","1,146",4.07,1060
282,1810,松井建設,東証１,建設業,2020年5月09日,638,658,658,636,6.43,14
283,1811,錢高組,東証１,建設業,2020年5月09日,"3,410","3,390","3,480","3,390",-2.05,6
284,1812,鹿島,東証１,建設業,2020年5月09日,"1,129","1,151","1,153","1,123",6.36,2965
285,1813,不動テトラ,東証１,建設業,2020年5月09日,"1,358","1,378","1,380","1,351",7.25,300
286,1814,大末建設,東証１,建設業,2020年5月09日,751,760,760,743,4.94,6
287,1815,鉄建建設,東証１,建設業,2020年5月09日,"2,154","2,179","2,190","2,130",-0.53,96
288,1820,西松建設,東証１,建設業,2020年5月09日,"2,088","2,087","2,095","2,074",5.12,429
289,1821,三井住友建設,東証１,建設業,2020年5月09日,440,445,448,438,3.51,408
290,1822,大豊建設,東証１,建設業,2020年5月09日,"2,326","2,304","2,326","2,279",4.72,280
291,1824,前田建設工業,東証１,建設業,2020年5月09日,865,871,876,862,6.67,278
292,1826,佐田建設,東証１,建設業,2020年5月09日,386,403,403,386,15.51,17
293,1827,ナカノフドー建設,東証１,建設業,2020年5月09日,359,361,361,355,6.08,4
296,1833,奥村組,東証１,建設業,2020年5月09日,"2,382","2,399","2,399","2,336",6.89,145
297,1835,東鉄工業,東証１,建設業,2020年5月09日,"2,735","2,727","2,773","2,700",-1.25,141
301,1847,イチケン,東証１,建設業,2020年5月09日,"1,200","1,212","1,219","1,186",4.65,24
302,1848,富士ピー・エス,東証１,建設業,2020年5月09日,516,516,516,505,2.07,3
304,1852,淺沼組,東証１,建設業,2020年5月09日,"3,470","3,525","3,525","3,435",3.4,178
306,1860,戸田建設,東証１,建設業,2020年5月09日,631,638,640,627,3.39,228
307,1861,熊谷組,東証１,建設業,2020年5月09日,"2,440","2,479","2,486","2,427",6.98,462
308,1866,北野建設,東証１,建設業,2020年5月09日,"2,535","2,533","2,535","2,510",3.39,4
309,1867,植木組,東証１,建設業,2020年5月09日,"2,470","2,460","2,470","2,438",1.1,5
311,1870,矢作建設工業,東証１,建設業,2020年5月09日,789,793,799,774,4.86,21
312,1871,ピーエス三菱,東証１,建設業,2020年5月09日,534,537,541,530,4.11,47
313,1873,日本ハウスホールディングス,東証１,建設業,2020年5月09日,275,277,278,270,-0.93,73
314,1878,大東建託,東証１,建設業,2020年5月09日,"10,245","10,570","10,675","10,115",3.19,8849
315,1879,新日本建設,東証１,建設業,2020年5月09日,774,765,777,758,0.2,60
316,1881,ＮＩＰＰＯ,東証１,建設業,2020年5月09日,"2,452","2,507","2,513","2,448",6.75,333
317,1882,東亜道路工業,東証１,建設業,2020年5月09日,"2,841","2,866","2,868","2,820",,60
318,1883,前田道路,東証１,建設業,2020年5月09日,"1,980","2,025","2,028","1,969",3.56,633
319,1884,日本道路,東証１,建設業,2020年5月09日,"6,550","6,650","6,650","6,490",4.82,54
320,1885,東亜建設工業,東証１,建設業,2020年5月09日,"1,405","1,435","1,438","1,398",5.28,108
321,1887,日本国土開発,東証１,建設業,2020年5月09日,552,550,565,543,4.14,149
322,1888,若築建設,東証１,建設業,2020年5月09日,"1,188","1,179","1,188","1,150",1.18,40
323,1890,東洋建設,東証１,建設業,2020年5月09日,436,434,443,432,1.85,139
325,1893,五洋建設,東証１,建設業,2020年5月09日,550,556,557,545,3.73,672
327,1898,世紀東急工業,東証１,建設業,2020年5月09日,797,788,802,778,0.89,100
328,1899,福田組,東証１,建設業,2020年5月09日,"4,145","4,245","4,245","4,140",2.55,36
331,1909,日本ドライケミカル,東証１,機械,2020年5月09日,"1,390","1,393","1,394","1,379",2.42,18
332,1911,住友林業,東証１,建設業,2020年5月09日,"1,273","1,286","1,286","1,252",-0.17,789
333,1914,日本基礎技術,東証１,建設業,2020年5月09日,404,402,406,396,4.22,31
334,1921,巴コーポレーション,東証１,建設業,2020年5月09日,340,350,350,338,5.08,13
335,1925,大和ハウス工業,東証１,建設業,2020年5月09日,"2,679.0","2,723.5","2,723.5","2,660.0",2.66,4513
336,1926,ライト工業,東証１,建設業,2020年5月09日,"1,400","1,393","1,413","1,379",8.98,338
337,1928,積水ハウス,東証１,建設業,2020年5月09日,"1,856.5","1,860.0","1,863.0","1,822.0",4,4308
338,1929,日特建設,東証１,建設業,2020年5月09日,721,729,730,713,2.38,50
339,1930,北陸電気工事,東証１,建設業,2020年5月09日,880,903,904,880,0.22,17
340,1934,ユアテック,東証１,建設業,2020年5月09日,603,622,623,602,3.85,38
341,1938,日本リーテック,東証１,建設業,2020年5月09日,"2,064","2,079","2,091","2,030",10.93,76
342,1939,四電工,東証１,建設業,2020年5月09日,"2,286","2,318","2,329","2,281",0.55,6
343,1941,中電工,東証１,建設業,2020年5月09日,"2,189","2,185","2,191","2,165",2.53,107
344,1942,関電工,東証１,建設業,2020年5月09日,911,901,915,898,5.8,322
345,1944,きんでん,東証１,建設業,2020年5月09日,"1,761","1,779","1,787","1,758",6.83,927
346,1945,東京エネシス,東証１,建設業,2020年5月09日,759,759,761,743,1.68,18
347,1946,トーエネック,東証１,建設業,2020年5月09日,"3,375","3,365","3,375","3,315",5.47,20
